x_peak,y_peak,peak_value,moon_name
2749.0,2035.0,5838.869729511611,Moon_3
2758.0,2033.0,4876.119729511612,Moon_3
2758.0,2046.0,4202.072854511611,Moon_3
2759.0,2050.0,2708.307229511611,Moon_3
2767.0,2036.0,3835.588479511611,Moon_3
2774.0,2041.0,3463.7291045116112,Moon_3
2781.0,2038.0,4403.869729511611,Moon_3
2778.0,2053.0,5481.854104511611,Moon_3
2782.0,2040.0,3780.057229511611,Moon_3
2075.0,1916.0,3571.9166045116112,Moon_3
2085.0,1920.0,2296.9009795116112,Moon_3
2089.0,1909.0,2988.1197295116112,Moon_3
2097.0,1912.0,3039.1197295116112,Moon_3
2094.0,1923.0,3544.6197295116117,Moon_3
2105.0,1911.0,2033.2447295116115,Moon_3
2117.0,1926.0,3530.9322295116112,Moon_3
1777.0,1873.0,3911.8072295116112,Moon_3
